"";"Électromyographie par électrode de surface, sans enregistrement vidéo";"Non pris en charge"
"";"Exérèse de lésion d'un repli péritonéal [méso] sans résection intestinale, par cœlioscopie";"215,13"
"";"anesthésie";"138,01"
"";"Exérèse de lésion d'un repli péritonéal [méso] sans résection intestinale, par laparotomie";"202,21"
"";"anesthésie";"111,06"
"";"Résection du grand omentum [grand épiploon] [Omentectomie], par cœlioscopie";"170,83"
"";"anesthésie";"122,06"
"";"Résection du grand omentum [grand épiploon] [Omentectomie], par laparotomie";"158,62"
"";"anesthésie";"109,97"
"";"Réduction de volume tumoral d'une maladie gélatineuse du péritoine, par laparotomie";"331,74"
"";"anesthésie";"129,03"
"";"Résection ou cloisonnement du cul-de-sac recto-utérin [de Douglas], par cœlioscopie";"218,79"
"";"anesthésie";"140,19"
"";"Résection ou cloisonnement du cul-de-sac recto-utérin [de Douglas], par laparotomie";"189,99"
"";"anesthésie";"116,20"
"";"Ligature du processus vaginal du péritoine [canal péritonéovaginal], par cœlioscopie";"201,87"
"";"anesthésie";"135,24"
"";"Ligature du processus vaginal du péritoine [canal péritonéovaginal], par abord inguinal";"201,87"
"";"anesthésie";"113,27"
"";"Alimentation parentérale avec apport de 20 à 35 kilocalories par kilogramme par jour [kcal/kg/jour], par 24 heures";""
"";"Alimentation parentérale avec apport de plus de 35 kilocalories par kilogramme par jour [kcal/kg/jour], par 24 heures";""
"";"Alimentation entérale par sonde avec apport de 20 à 35 kilocalories par kilogramme par jour [kcal/kg/jour], par 24 heures";""
"";"Alimentation entérale par sonde avec apport de plus de 35 kilocalories par kilogramme par jour [kcal/kg/jour], par 24 heures";""
"";"Alimentation entérale et parentérale, avec apport de plus de 35 kilocalories par kilogramme par jour [kcal/kg/jour], par 24 heures";""
"";"Électromyographie analytique du périnée par électrode aiguille";"58,36"
"";"Électromyographie analytique du périnée avec étude de la latence motrice du nerf pudendal [nerf honteux], par électrode aiguille";"86,40"
"";"Électromyographie analytique du périnée avec étude de la latence du réflexe bulbocaverneux et des potentiels évoqués somesthésiques cérébraux par stimulation du nerf pudendal [nerf honteux]";"120,96"
"";"Électromyographie analytique du périnée avec étude des latences des réflexes sacraux, par électrode aiguille";"86,40"
"";"Électromyographie analytique du périnée, avec étude des latences des réflexes sacraux et des latences distales du nerf pudendal [nerf honteux] par stimulation intrarectale";"120,96"
"";"Électromyographie analytique du périnée, avec étude des latences des réflexes sacraux, des latences distales du nerf pudendal [nerf honteux] par stimulation intrarectale et des potentiels évoqués somesthésiques cérébraux par stimulation du nerf pudendal";"120,96"
"";"Électromyographie analytique du périnée, avec étude des latences des réflexes sacraux, de la vitesse de conduction sensitive du nerf dorsal du pénis, des potentiels évoqués somesthésiques cérébraux et des réponses cutanées sympathiques périnéales";"120,96"
"";"Électromyographie de fibre unique du périnée avec étude de 20 paires de fibres, par électrode aiguille";"102,95"
"";"Échographie transcutanée unilatérale ou bilatérale du rein et de la région lombale";"56,70"
"";"Échographie transcutanée unilatérale ou bilatérale du rein et de la région lombale, avec échographie transcutanée de la vessie";"56,70"
"";"Échographie transcutanée unilatérale ou bilatérale du rein et de la région lombale, avec échographie transcutanée de la vessie et échographie de la prostate et des vésicules séminales par voie rectale";"56,70"
"";"Échographie transcutanée unilatérale ou bilatérale du rein et de la région lombale, avec échographie transcutanée du petit bassin [pelvis] féminin";"75,60"
"";"Échographie transcutanée de la vessie et/ou de la prostate";"56,70"
"";"Échographie transcutanée et échographie par voie rectale et/ou vaginale [par voie cavitaire] de la vessie";"56,70"
"";"Échographie de la vessie et de la prostate, par voie urétrale";"56,70"
"";"Échographie de la vessie et de la prostate, par voie rectale";"56,70"
"";"Échographie de la prostate et des vésicules séminales, par voie rectale";"56,70"
"";"Échographie transcutanée unilatérale ou bilatérale du contenu des bourses";"37,80"
"";"Échographie du pénis";"37,80"
"";"Échographie transcutanée du petit bassin [pelvis] féminin";"56,70"
"";"Échographie du petit bassin [pelvis] féminin, par voie rectale et/ou vaginale [par voie cavitaire]";"56,70"
"";"Échographie transcutanée avec échographie par voie rectale et/ou vaginale [par voie cavitaire] du petit bassin [pelvis] féminin";"56,70"
"";"Hystérosonographie";"69,72"
"";"Échographie-doppler transcutanée unilatérale ou bilatérale du rein et de ses vaisseaux";"75,60"
"";"Échographie-doppler du petit bassin [pelvis] féminin, par voie rectale et/ou vaginale [par voie cavitaire]";"75,60"
"";"Échographie-doppler transcutanée et échographie-doppler par voie rectale et/ou vaginale [par voie cavitaire] du petit bassin [pelvis] féminin";"75,60"
"";"Urographie intraveineuse sans urétrocystographie permictionnelle";"85,12"
"";"Urographie intraveineuse avec urétrocystographie permictionnelle";"85,12"
"";"Kystographie du rein, par voie transcutanée avec guidage échographique et/ou radiologique";"57,60"
"";"Urétéropyélographie descendante, par une néphrostomie déjà en place";"46,55"
"";"Urétéropyélographie descendante, par voie transcutanée avec guidage échographique et/ou radiologique";"46,55"
"";"Urétéropyélographie rétrograde [UPR]";"46,55"
"";"Urétrocystographie rétrograde";"57,19"
"";"Urétrocystographie, par une cystostomie déjà en place";"57,19"
"";"Urétrocystographie, par ponction transcutanée de la vessie";"57,19"
"";"Déférentovésiculographie unilatérale ou bilatérale, par cathétérisme endoscopique des conduits éjaculateurs";"57,60"
"";"Déférentovésiculographie, par ponction transcutanée du conduit déférent sans guidage";"57,60"
"";"Déférentovésiculographie, par ponction transcutanée du conduit déférent avec guidage échographique";"57,60"
"";"Cavernographie, par ponction transcutanée des corps caverneux du pénis";"57,60"
"";"Hystérosalpingographie";"73,15"
"";"Colpo-cysto-rectographie dynamique";"46,55"
"";"Exploration radiologique des anomalies du sinus urogénital [Génitographie externe]";"46,55"
"";"Mesure de la clairance radio-isotopique plasmatique";"134,56"
"";"Mesure de la clairance radio-isotopique plasmatique et urinaire";"134,56"
"";"Scintigraphie rénale glomérulaire ou tubulaire [Néphrographie isotopique] sans épreuve pharmacologique";"327,30"
"";"Scintigraphie rénale glomérulaire ou tubulaire [Néphrographie isotopique] sans épreuve pharmacologique, avec scintigraphie antérograde de la vessie";"380,36"
"";"Scintigraphie rénale glomérulaire ou tubulaire [Néphrographie isotopique] avec épreuve pharmacologique";"327,30"
"";"Scintigraphie rénale glomérulaire ou tubulaire [Néphrographie isotopique] avec épreuve pharmacologique et réinjection de produit radio-isotopique";"406,89"
"";"Scintigraphie rénale glomérulaire ou tubulaire avec mesure de la clairance radio-isotopique plasmatique";"337,94"
"";"Scintigraphie rénale glomérulaire ou tubulaire avec mesure des clairances radio-isotopiques plasmatique et urinaire";"337,94"
"";"Scintigraphie rénale corticale";"268,87"
"";"Scintigraphie de l'élimination pyélo-urétérale";"268,87"
"";"Scintigraphie de la vessie, par voie rétrograde";"268,87"
"";"Scintigraphie unilatérale ou bilatérale du testicule et/ou scintigraphie du pénis";"268,87"
"";"Étude du débit plasmatique rénal, avec recueil urinaire";""
"";"Épreuve de filtration glomérulaire rénale par administration de substance exogène, sans recueil urinaire";""
"";"Épreuve de filtration glomérulaire rénale par administration de substance exogène, avec recueil urinaire";""
"";"Épreuve de filtration glomérulaire rénale par administration de substance exogène avec étude du débit plasmatique rénal, avec recueil urinaire";""
"";"Épreuve de filtration glomérulaire rénale par administration de substance exogène, sans recueil urinaire, avec épreuve de stimulation";""
"";"Épreuve de filtration glomérulaire rénale par administration de substance exogène, avec recueil urinaire, avec épreuve de stimulation";""
"";"Épreuve de charge calcique";""
"";"Épreuve de dilution de l'urine";""
"";"Épreuve de concentration de l'urine avec test à la 1-désamino-8-D-arginine-vasopressine [dDAVP]";""
"";"Étude de la sécrétion d'hormone antidiurétique [ADH] par perfusion de chlorure de sodium hypertonique";""
"";"Étude de la capacité d'acidification de l'urine";""
"";"Étude du transfert maximal [Tm] du bicarbonate et de la sécrétion distale de proton";""
"";"Étude du transfert maximal [Tm] du glucose";""
"";"Étude du système rénine-angiotensine-aldostérone en clinostatisme et en orthostatisme";""
"";"Étude de la régulation du système rénine-angiotensine-aldostérone par administration d'agent pharmacologique non radio-isotopique ou perfusion de chlorure de sodium isotonique";""
"";"Étude des transferts des électrolytes dans le tubule rénal et de leurs facteurs de régulation, sans administration de substance exogène";""
"";"Étude des transferts des électrolytes dans le tubule rénal et de leurs facteurs de régulation, avec administration de substance exogène";""
"";"Test à la déféroxamine";"Non pris en charge"
"";"Étude urodynamique du haut appareil urinaire";"118,93"
"";"Cystomanométrie par cathétérisme urétral, sans mesure des pressions intrarectales ou intravaginales";"102,76"
"";"Cystomanométrie par cathétérisme urétral, avec mesure des pressions intrarectales ou intravaginales";"104,41"
"";"Cystomanométrie par cathétérisme urétral, avec mesure des pressions intrarectales ou intravaginales et débitmétrie mictionnelle simultanée [Étude pression-débit urinaire]";"115,10"
"";"Cystomanométrie par cathétérisme urétral, avec mesure des pressions intrarectales ou intravaginales et électromyographie du sphincter strié de l'urètre par électrode aiguille";"128,11"
"";"Cystomanométrie par cathétérisme urétral, avec mesure des pressions intrarectales ou intravaginales, débitmétrie mictionnelle, électromyographie des muscles du périnée et étude des latences des réflexes sacraux";"144,14"
"";"Cystomanométrie par cathétérisme urétral, avec mesure des pressions intrarectales ou intravaginales, débitmétrie mictionnelle, électromyographie des muscles du périnée, étude des latences des réflexes sacraux et des potentiels évoqués somesthésiques";"159,11"
"";"Cystomanométrie par cathétérisme urétral, avec profilométrie urétrale";"117,86"
"";"Cystomanométrie par cathétérisme urétral, avec profilométrie urétrale suivie de débitmétrie mictionnelle, avec électromyographie du sphincter strié de l'urètre par électrode aiguille";"130,04"
"";"Cystomanométrie, par ponction transcutanée de la vessie";"99,48"
"";"Cystomanométrie par ponction transcutanée de la vessie, avec profilométrie urétrale";"131,43"
"";"Profilométrie urétrale";"58,75"
"";"Sphinctérométrie par cathétérisme urétral";"54,72"
"";"Débitmétrie mictionnelle";"Non pris en charge"
"";"Débitmétrie mictionnelle, avec cystomanométrie et sphinctérométrie par cathétérisme urétral";"112,23"
"";"Mesure de la rigidité du pénis avec injection de produit vasoactif";"Non pris en charge"
"";"Mesure nocturne de la tumescence et de la rigidité du pénis";"Non pris en charge"
"";"Mesure pression-débit, par ponction transcutanée des corps caverneux du pénis";"Non pris en charge"
"";"Évaluation de la dose de dialyse péritonéale par prélèvement unique de sang et de dialysat";""
"";"Évaluation de la dose de dialyse péritonéale par prélèvements multiples de sang et de dialysat";""
"";"Mesure des clairances péritonéales par recueil de dialysat sur 24 heures";""
"";"Mesure de la pression intrapéritonéale par le prolongateur du cathéter de dialyse péritonéale";""
"";"Pyélocaliscopie, par voie transcutanée";"325,81"
"";"anesthésie";"155,89"
"";"Urétéro-pyélo-caliscopie, par voie transcutanée";"349,25"
"";"anesthésie";"155,89"
"";"Urétéro-pyélo-caliscopie rétrograde, par voie urétrale";"315,12"
"";"anesthésie";"155,89"
"";"Urétéroscopie rétrograde, par voie urétrale";"213,39"
"";"anesthésie";"114,09"
"";"Urétéroscopie par une urétérostomie cutanée directe";"197,69"
"";"anesthésie";"114,09"
"";"Urétéroscopie par une urétérostomie cutanée transintestinale non continente";"244,64"
"";"anesthésie";"114,09"
"";"Urétéroscopie par une urétérostomie cutanée transintestinale continente";"330,58"
"";"anesthésie";"125,27"
"";"Fibroscopie urétrovésicale";"38,40"
"";"Urétrocystoscopie à l'endoscope rigide";"36,00"
"";"Exploration endoscopique d'une néovessie intestinale";"46,56"
"";"Péniscopie";""
"";"Exploration antérograde unilatérale ou bilatérale de la trompe utérine [Salpingoscopie gynécologique], par cœlioscopie";"117,31"
"";"anesthésie";"75,82"
"";"Hystéroscopie";"66,48"
"";"Hystéroscopie avec curetage de la cavité de l'utérus";"76,11"
"";"anesthésie";"56,08"
"";"Colposcopie";"36,97"
"";"Vaginoscopie";""
"";"Vulvoscopie";""
"";"Exploration du petit bassin [pelvis] féminin, par pélycoscopie [culdoscopie] [cœlioscopie transvaginale]";"95,63"
"";"anesthésie";"48,00"
"";"Biopsie de la voie excrétrice supérieure, par endoscopie rétrograde";"267,66"
"";"anesthésie";"114,09"
"";"Biopsie de la vessie à la pince, par endoscopie";"38,01"
"";"anesthésie";"48,00"
"";"Biopsie de la vessie à l'anse coupante, par endoscopie";"86,87"
"";"anesthésie";"48,39"
"";"Biopsie randomisée de la vessie, par endoscopie";"97,97"
"";"anesthésie";"55,35"
"";"Biopsie de l'urètre à la pince, par endoscopie";"54,86"
"";"Biopsie de l'urètre à l'anse coupante, par endoscopie";"58,15"
"";"anesthésie";"48,00"
"";"Ponction de kyste du rein, par voie transcutanée avec guidage échographique";"57,60"
"";"Ponction de kyste du rein, par voie transcutanée avec guidage radiologique";"57,60"
"";"Ponction des cavités du rein, par voie transcutanée avec guidage échographique";"57,60"
"";"Ponction des cavités du rein par voie transcutanée avec guidage échographique, avec enregistrement de la pression pyélique sous perfusion";"57,60"
"";"Biopsie du rein, par voie transcutanée sans guidage";"65,72"
"";"Biopsie du rein sur une cible, par voie transcutanée avec guidage échographique";"76,80"
"";"Biopsie du rein sur plusieurs cibles, par voie transcutanée avec guidage échographique";"76,80"
"";"Biopsie du rein, par voie jugulaire transcutanée avec guidage radiologique";"76,80"
"";"Biopsie du rein, par cœlioscopie ou par rétropéritonéoscopie";"154,20"
"";"anesthésie";"90,13"
"";"Biopsie du rein, par abord direct";"129,97"
"";"anesthésie";"87,24"
"";"Pose d'une sonde urétérale à visée diagnostique, par endoscopie rétrograde";"66,21"
"";"anesthésie";"63,96"
"";"Frottis et/ou prélèvement urétral";"8,59"
"";"Ponction-cytoaspiration de la prostate, par voie transrectale ou transpérinéale";"38,40"
