"A"	"ALIMENTARY TRACT AND METABOLISM"	"VOIES DIGESTIVES ET METABOLISME"
"J07AG51"	"HEMOPHILUS INFLUENZAE B, COMBINATIONS WITH TOXOIDS"	"HAEMOPHILUS INFLUENZAE B EN ASSOCIATION AVEC DES ANATOXINES"
"J07AG52"	"HEMOPHILUS INFLUENZAE B, COMBINATIONS WITH PERTUSSIS AND TOXOIDS"	"HAEMOPHILUS INFLUENZAE B EN ASSOCIATION AVEC VACCINS ANTICOQUELUCHEUX ET ANATOXINES"
"J07AH"	"MENINGOCOCCAL VACCINES"	"VACCINS ANTIMENINGOCOCCIQUES"
"J07AH01"	"MENINGOCOCCUS A, PURIFIED POLYSACCHARIDES ANTIGEN"	"MENINGOCOQUE TYPE A, ANTIGENES POLYSACCHARIDIQUES PURIFIES"
"J07AH02"	"OTHER MENINGOCOCCAL MONOVALENT PURIFIED POLYSACCHARIDES ANTIGEN"	"MENINGOCOQUES, AUTRES ANTIGENES POLYSACCHARIDIQUES MONOVALENTS PURIFIES"
"J07AH03"	"MENINGOCOCCUS, BIVALENT PURIFIED POLYSACCHARIDES ANTIGEN"	"MENINGOCOQUES, ANTIGENES POLYSACCHARIDIQUES BIVALENTS PURIFIES"
"J07AH04"	"MENINGOCOCCUS, TETRAVALENT PURIFIED POLYSACCHARIDES ANTIGEN"	"MENINGOCOQUES, ANTIGENES POLYSACCHARIDIQUES TETRAVALENTS PURIFIES"
"J07AH05"	"OTHER MENINGOCOCCAL POLYVALENT PURIFIED POLYSACCHARIDES ANTIGEN"	"MENINGOCOQUES, AUTRES ANTIGENES POLYSACCHARIDIQUES POLYVALENTS PURIFIES"
"J07AH06"	"MENINGOCOCCUS B, OUTER MEMBRANE VESICLE VACCINE"	"MENINGOCOQUE TYPE B, VACCIN ANTI-CAPSULE"
"J07AH07"	"MENINGOCOCCUS C,PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED"	"MENINGOCOQUE TYPE C, CONJUGUE A DES ANTIGENES POLYSACCHARIDIQUES PURIFIES"
"J07AJ"	"PERTUSSIS VACCINES"	"VACCINS CONTRE LA COQUELUCHE"
"J07AJ01"	"PERTUSSIS, INACTIVATED, WHOLE CELL"	"COQUELUCHE, BACTERIE ENTIERE INACTIVEE"
"J07AJ02"	"PERTUSSIS, PURIFIED ANTIGEN"	"COQUELUCHE, ANTIGENE PURIFIE"
"J07AJ51"	"PERTUSSIS, INACTIVATED, WHOLE CELL, COMBINATIONS WITH TOXOIDS"	"COQUELUCHE, BACTERIE ENTIERE INACTIVEE EN ASSOCIATION AVEC DES ANATOXINES"
"J07AJ52"	"PERTUSSIS, PURIFIED ANTIGEN, COMBINATIONS WITH TOXOIDS"	"COQUELUCHE, ANTIGENE PURIFIE EN ASSOCIATION AVEC DES ANATOXINES"
"J07AK"	"PLAGUE VACCINES"	"VACCINS CONTRE LA PESTE"
"J07AK01"	"PLAGUE, INACTIVATED, WHOLE CELL"	"PESTE, BACTERIE ENTIERE INACTIVEE"
"J07AL"	"PNEUMOCOCCAL VACCINES"	"VACCINS ANTIPNEUMOCOCCIQUES"
"J07AL01"	"PNEUMOCOCCUS, PURIFIED POLYSACCHARIDES ANTIGEN"	"PNEUMOCOCCUS, ANTIGENES POLYSACCHARIDIQUES PURIFIES"
"J07AL02"	"PNEUMOCOCCUS, PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED"	"PNEUMOCOCCUS, ANTIGENES POLYSACCHARIDIQUES CONJUGUES PURIFIES"
"J07AM"	"TETANUS VACCINES"	"VACCINS ANTITETANIQUES"
"J07AM01"	"TETANUS TOXOID"	"ANATOXINE TETANIQUE"
"J07AM51"	"TETANUS TOXOID, COMBINATIONS WITH DIPHTHERIA TOXOID"	"ANATOXINE TETANIQUE EN ASSOCIATION AVEC ANATOXINE DIPHTERIQUE"
"J07AM52"	"TETANUS TOXOID, COMBINATIONS WITH TETANUS IMMUNOGLOBULIN"	"ANATOXINE TETANIQUE EN ASSOCIATION AVEC IMMUNOGLOBULINE ANTITETANIQUE"
"J07AN"	"TUBERCULOSIS VACCINES"	"VACCINS ANTITUBERCULEUX"
"J07AN01"	"TUBERCULOSIS, LIVE ATTENUATED"	"TUBERCULOSE, BACTERIE VIVANTE ATTENUEE"
"J07AP"	"TYPHOID VACCINES"	"VACCINS ANTITYPHOIDIQUES"
"J07AP01"	"TYPHOID, ORAL, LIVE ATTENUATED"	"TYPHOÏDE, BACTERIE VIVANTE ATTENUEE ORALE"
"J07AP02"	"TYPHOID, INACTIVATED, WHOLE CELL"	"TYPHOÏDE, BACTERIE ENTIERE INACTIVEE"
"J07AP03"	"TYPHOID, PURIFIED POLYSACCHARIDE ANTIGEN"	"TYPHOÏDE, ANTIGENE POLYSACCHARIDIQUE PURIFIE"
"J07AP10"	"TYPHOID, COMBINATIONS WITH PARATYPHI TYPES"	"TYPHOÏDE, EN ASSOCIATION AVEC PARATYPHI"
"J07AR"	"TYPHUS (EXANTHEMATICUS) VACCINES"	"VACCINS CONTRE LE TYPHUS (EXANTHEMATIQUE)"
"J07AR01"	"TYPHUS EXANTHEMATICUS, INACTIVATED, WHOLE CELL"	"TYPHUS EXANTHEMATIQUE, BACTERIE ENTIERE INACTIVEE"
"J07AX"	"OTHER BACTERIAL VACCINES"	"AUTRES VACCINS BACTERIENS"
"J07B"	"VIRAL VACCINES"	"VACCINS VIRAUX"
"J07BA"	"ENCEPHALITIS VACCINES"	"VACCINS CONTRE LES ENCEPHALITES"
"J07BA01"	"ENCEPHALITIS, TICK BORNE, INACTIVATED, WHOLE VIRUS"	"ENCEPHALITE TRANSMISE PAR LES TIQUES, VIRUS ENTIER INACTIVE"
"J07BA02"	"ENCEPHALITIS, JAPANESE, INACTIVATED, WHOLE VIRUS"	"ENCEPHALITE JAPONAISE, VIRUS ENTIER INACTIVE"
"J07BB"	"INFLUENZA VACCINES"	"VACCINS ANTIGRIPPAUX"
"J07BB01"	"INFLUENZA, INACTIVATED, WHOLE VIRUS"	"GRIPPE, VIRUS ENTIER INACTIVE"
"J07BB02"	"INFLUENZA, PURIFIED ANTIGEN"	"GRIPPE, ANTIGENE PURIFIE"
"J07BC"	"HEPATITIS VACCINES"	"VACCINS CONTRE L'HEPATITE"
"J07BC01"	"HEPATITIS B, PURIFIED ANTIGEN"	"HEPATITE B, ANTIGENE PURIFIE"
"J07BC02"	"HEPATITIS A, INACTIVATED, WHOLE VIRUS"	"HEPATITE A, VIRUS ENTIER INACTIVE"
"J07BC20"	"COMBINATIONS"	"ASSOCIATIONS"
"J07BD"	"MORBILLI VACCINES"	"VACCINS CONTRE LA ROUGEOLE"
"J07BD01"	"MORBILLI, LIVE ATTENUATED"	"ROUGEOLE, VIRUS VIVANT ATTENUE"
"J07BD51"	"MORBILLI, COMBINATIONS WITH PAROTITIS, LIVE ATTENUATED"	"ROUGEOLE EN ASSOCIATION AUX OREILLONS, VIRUS VIVANTS ATTENUES"
"J07BD52"	"MORBILLI, COMBINATIONS WITH PAROTITIS AND RUBELLA, LIVE ATTENUATED"	"ROUGEOLE EN ASSOCIATION AUX OREILLONS ET A LA RUBEOLE, VIRUS VIVANTS ATTENUES"
"J07BD53"	"MORBILLI, COMBINATIONS WITH RUBELLA, LIVE ATTENUATED"	"ROUGEOLE EN ASSOCIATION A LA RUBEOLE, VIRUS VIVANTS ATTENUES"
"J07BE"	"PAROTITIS VACCINES"	"VACCINS CONTRE LES OREILLONS"
"J07BE01"	"PAROTITIS, LIVE ATTENUATED"	"OREILLONS, VIRUS VIVANT ATTENUE"
"J07BF"	"POLIOMYELITIS VACCINES"	"VACCINS CONTRE LA POLIOMYELITE"
"J07BF01"	"POLIOMYELITIS ORAL, MONOVALENT LIVE ATTENUATED"	"POLIOMYELITE, VIRUS VIVANT MONOVALENT ATTENUE ORAL"
"J07BF02"	"POLIOMYELITIS ORAL, TRIVALENT, LIVE ATTENUATED"	"POLIOMYELITE, VIRUS VIVANT TRIVALENT ATTENUE ORAL"
"J07BF03"	"POLIOMYELITIS, TRIVALENT, INACTIVATED, WHOLE VIRUS"	"POLIOMYELITE, VIRUS ENTIER TRIVALENT INACTIVE"
"J07BG"	"RABIES VACCINES"	"VACCINS ANTIRABIQUES"
"J07BG01"	"RABIES, INACTIVATED, WHOLE VIRUS"	"RAGE, VIRUS ENTIER INACTIVE"
"J07BH"	"ROTA VIRUS DIARRHEA VACCINES"	"VACCINS CONTRE LES DIARRHEES A ROTAVIRUS"
"J07BH01"	"ROTA VIRUS, LIVE ATTENUATED"	"ROTAVIRUS, VIRUS VIVANT ATTENUE"
"J07BJ"	"RUBELLA VACCINES"	"VACCINS CONTRE LA RUBEOLE"
"J07BJ01"	"RUBELLA, LIVE ATTENUATED"	"RUBEOLE, VIRUS VIVANT ATTENUE"
"J07BJ51"	"RUBELLA, COMBINATIONS WITH PAROTITIS, LIVE ATTENUATED"	"RUBEOLE EN ASSOCIATION AUX OREILLONS, VIRUS VIVANTS ATTENUES"
"J07BK"	"VARICELLA VACCINES"	"VACCINS CONTRE LA VARICELLE"
"J07BK01"	"VARICELLA, LIVE ATTENUATED"	"VARICELLE, VIRUS VIVANT ATTENUE"
"J07BL"	"YELLOW FEVER VACCINES"	"VACCINS CONTRE LA FIEVRE JAUNE"
"J07BL01"	"YELLOW FEVER, LIVE ATTENUATED"	"FIEVRE JAUNE, VIRUS VIVANT ATTENUE"
"J07BX"	"OTHER VIRAL VACCINES"	"AUTRES VACCINS VIRAUX"
"J07C"	"BACTERIAL AND VIRAL VACCINES, COMBINED"	"VACCINS BACTERIENS ET VIRAUX ASSOCIES"
"J07CA"	"BACTERIAL AND VIRAL VACCINES, COMBINED"	"VACCINS BACTERIENS ET VIRAUX ASSOCIES"
"J07CA01"	"DIPHTHERIA-POLIOMYELITIS-TETANUS"	"DIPHTERIE - POLIOMYELITE - TETANOS"
"J07CA02"	"DIPHTHERIA-PERTUSSIS-POLIOMYELITIS-TETANUS"	"DIPHTERIE - COQUELUCHE - POLIOMYELITE - TETANOS"
"J07CA03"	"DIPHTHERIA-RUBELLA-TETANUS"	"DIPHTERIE-RUBEOLE-TETANOS"
"J07CA04"	"HEMOPHILUS INFLUENZAE B AND POLIOMYELITIS"	"HAEMOPHILUS INFLUENZAE B ET POLIOMYELITE"
"J07CA05"	"DIPHTHERIA-HEPATITIS B-PERTUSSIS-TETANUS"	"DIPHTERIE-HEPATITE B-COQUELUCHE-TETANOS"
"J07CA06"	"DIPHTHERIA-HEMOPHILUS INFLUENZAE B-PERTUSSIS-POLIOMYELITIS-TETANUS"	"DIPHTERIE - HAEMOPHILUS INFLUENZAE B - COQUELUCHE - POLIOMYELITE - TETANOS"
"J07CA07"	"DIPHTHERIA-HEPATITIS B-TETANUS"	"DIPHTERIE-HEPATITE B-TETANOS"
"J07CA08"	"HEMOPHILUS INFLUENZAE B AND HEPATITIS B"	"HEMOPHILUS INFLUENZAE B-HEPATITE B"
"J07CA09"	"DIPHTERIA-HEMOPHILUS INFLUENZAE B-PERTUSSIS-POLIOMYELITIS-TETANUS-HEPATITIS B"	"DIPHTERIE-HEMOPHILUS INFLUENZAE B-COQUELUCHE-POLIO-TETANOS-HEPATITE B"
"J07X"	"OTHER VACCINES"	"AUTRES VACCINS"
"L"	"ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS"	"ANTINEOPLASIQUES ET IMMUNOMODULATEURS"
"L01"	"ANTINEOPLASTIC AGENTS"	"ANTINEOPLASIQUES"
"L01A"	"ALKYLATING AGENTS"	"AGENTS ALKYLANTS"
"L01AA"	"NITROGEN MUSTARD ANALOGUES"	"MOUTARDES A L'AZOTE"
"L01AA01"	"CYCLOPHOSPHAMIDE"	"CYCLOPHOSPHAMIDE"
"L01AA02"	"CHLORAMBUCIL"	"CHLORAMBUCIL"
"L01AA03"	"MELPHALAN"	"MELPHALAN"
"L01AA05"	"CHLORMETHINE"	"CHLORMETHINE"
"L01AA06"	"IFOSFAMIDE"	"IFOSFAMIDE"
"L01AA07"	"TROFOSFAMIDE"	"TROFOSFAMIDE"
"L01AA08"	"PREDNIMUSTINE"	"PREDNIMUSTINE"
"L01AB"	"ALKYL SULFONATES"	"ALKYLSULFONATES"
"L01AB01"	"BUSULFAN"	"BUSULFAN"
"L01AB02"	"TREOSULFAN"	"TREOSULFAN"
"L01AB03"	"MANNOSULFAN"	"MANNOSULFAN"
"L01AC"	"ETHYLENE IMINES"	"ETHYLENEIMINES"
"L01AC01"	"THIOTEPA"	"THIOTEPA"
"L01AC02"	"TRIAZIQUONE"	"TRIAZIQUONE"
"L01AC03"	"CARBOQUONE"	"CARBOQUONE"
"L01AD"	"NITROSOUREAS"	"NITROSOUREES"
"L01AD01"	"CARMUSTINE"	"CARMUSTINE"
"L01AD02"	"LOMUSTINE"	"LOMUSTINE"
"L01AD03"	"SEMUSTINE"	"SEMUSTINE"
"L01AD04"	"STREPTOZOCIN"	"STREPTOZOCINE"
"L01AD05"	"FOTEMUSTINE"	"FOTEMUSTINE"
"L01AD06"	"NIMUSTINE"	"NIMUSTINE"
"L01AD07"	"RANIMUSTINE"	"RANIMUSTINE"
"L01AG"	"EPOXIDES"	"EPOXYDES"
"L01AG01"	"ETOGLUCID"	"ETOGLUCIDE"
"L01AX"	"OTHER ALKYLATING AGENTS"	"AUTRES AGENTS ALKYLANTS"
"L01AX01"	"MITOBRONITOL"	"MITOBRONITOL"
"L01AX02"	"PIPOBROMAN"	"PIPOBROMAN"
"L01AX03"	"TEMOZOLOMIDE"	"TEMOZOLOMIDE"
"L01AX04"	"DACARBAZINE"	"DACARBAZINE"
"L01B"	"ANTIMETABOLITES"	"ANTIMETABOLITES"
"L01BA"	"FOLIC ACID ANALOGUES"	"ANALOGUES DE L'ACIDE FOLIQUE"
"L01BA01"	"METHOTREXATE"	"METHOTREXATE"
"L01BA02"	"PALTITREXID"	"PALTITREXID"
"L01BA03"	"RALTITREXED"	"RALTITREXED"
"L01BA04"	"PEMETREXED"	"PEMETREXED"
"L01BB"	"PURINE ANALOGUES"	"ANALOGUES DE LA PURINE"
"L01BB02"	"MERCAPTOPURINE"	"MERCAPTOPURINE"
"L01BB03"	"TIOGUANINE"	"TIOGUANINE"
"L01BB04"	"CLADRIBINE"	"CLADRIBINE"
"L01BB05"	"FLUDARABINE"	"FLUDARABINE"
"L01BC"	"PYRIMIDINE ANALOGUES"	"ANALOGUES DE LA PYRIMIDINE"
"L01BC01"	"CYTARABINE"	"CYTARABINE"
"L01BC02"	"FLUOROURACIL"	"FLUOROURACILE"
"L01BC03"	"TEGAFUR"	"TEGAFUR"
"L01BC04"	"CARMOFUR"	"CARMOFUR"
"L01BC05"	"GEMCITABINE"	"GEMCITABINE"
"L01BC06"	"CAPECITABINE"	"CAPECITABINE"
"L01BC52"	"FLUOROURACIL, COMBINATIONS"	"FLUOROURACILE EN ASSOCIATION"
"L01BC53"	"TEGAFUR, COMBINATIONS"	"TEGAFUR EN ASSOCIATION"
"L01C"	"PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS"	"ALCALOÏDES VEGETAUX ET AUTRES MEDICAMENTS D'ORIGINE NATURELLE"
"L01CA"	"VINCA ALKALOIDS AND ANALOGUES"	"VINCAALCALOÏDES ET ANALOGUES"
"L01CA01"	"VINBLASTINE"	"VINBLASTINE"
"L01CA02"	"VINCRISTINE"	"VINCRISTINE"
"L01CA03"	"VINDESINE"	"VINDESINE"
"L01CA04"	"VINORELBINE"	"VINORELBINE"
"L01CB"	"PODOPHYLLOTOXIN DERIVATIVES"	"DERIVES DE LA PODOPHYLLOTOXINE"
"L01CB01"	"ETOPOSIDE"	"ETOPOSIDE"
"L01CB02"	"TENIPOSIDE"	"TENIPOSIDE"
"L01CC"	"COLCHICINE DERIVATIVES"	"DERIVES DE LA COLCHICINE"
"L01CC01"	"DEMECOLCINE"	"DEMECOLCINE"
"L01CD"	"TAXANES"	"TAXANES"
"L01CD01"	"PACLITAXEL"	"PACLITAXEL"
"L01CD02"	"DOCETAXEL"	"DOCETAXEL"
"L01CX"	"OTHER PLANT ALKALOIDS AND NATURAL PRODUCTS"	"AUTRES PLANTES ALCALOIDES ET PRODUITS NATURELS"
"L01CX01"	"TRABECTEDIN"	"TRABECTEDINE"
"L01D"	"CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES"	"ANTIBIOTIQUES CYTOTOXIQUES ET APPARENTES"
"L01DA"	"ACTINOMYCINES"	"ACTINOMYCINES"
"L01DA01"	"DACTINOMYCIN"	"DACTINOMYCINE"
"L01DB"	"ANTHRACYCLINES AND RELATED SUBSTANCES"	"ANTHRACYCLINES ET APPARENTES"
"L01DB01"	"DOXORUBICIN"	"DOXORUBICINE"
"L01DB02"	"DAUNORUBICIN"	"DAUNORUBICINE"
"L01DB03"	"EPIRUBICIN"	"EPIRUBICINE"
"L01DB04"	"ACLARUBICIN"	"ACLARUBICINE"
"L01DB05"	"ZORUBICIN"	"ZORUBICINE"
"L01DB06"	"IDARUBICIN"	"IDARUBICINE"
"L01DB07"	"MITOXANTRONE"	"MITOXANTRONE"
"L01DB08"	"PIRARUBICIN"	"PIRARUBICINE"
"L01DB09"	"VALRUBICIN"	"VALRUBICINE"
"L01DC"	"OTHER CYTOTOXIC ANTIBIOTICS"	"AUTRES ANTIBIOTIQUES CYTOTOXIQUES"
"L01DC01"	"BLEOMYCIN"	"BLEOMYCINE"
"L01DC02"	"PLICAMYCIN"	"PLICAMYCINE"
"L01DC03"	"MITOMYCIN"	"MITOMYCINE"
"L01X"	"OTHER ANTINEOPLASTIC AGENTS"	"AUTRES ANTINEOPLASIQUES"
"L01XA"	"PLATINUM COMPOUNDS"	"DERIVES DU PLATINE"
"L01XA01"	"CISPLATIN"	"CISPLATINE"
"L01XA02"	"CARBOPLATIN"	"CARBOPLATINE"
"L01XA03"	"OXALIPLATIN"	"OXALIPLATINE"
"L01XB"	"METHYLHYDRAZINES"	"METHYLHYDRAZINES"
"L01XB01"	"PROCARBAZINE"	"PROCARBAZINE"
"L01XC"	"MONOCLONAL ANTIBODIES"	"ANTICORPS MONOCLONAUX"
"L01XC01"	"EDRECOLOMAB"	"EDRECOLOMAB"
"L01XC02"	"RITUXIMAB"	"RITUXIMAB"
"L01XC03"	"TRASTUZUMAB"	"TRASTUZUMAB"
"L01XC04"	"ALEMTUZUMAB"	"ALEMTUZUMAB"
"L01XC05"	"GEMTUZUMAB"	"GEMTUZUMAB"
"L01XC06"	"CETUXIMAB"	"CETUXIMAB"
"L01XD"	"AGENTS USED IN PHOTODYNAMIC THERAPY"	"MEDICAMENTS UTILISES DANS LA THERAPIE PHOTODYNAMIQUE"
"L01XD01"	"PORFIMER SODIUM"	"PORFIMER SODIUM"
"L01XD02"	"VERTEPORFIN"	"VERTEPORFIN"
"L01XD03"	"METHYLE AMINOLEVULINATE"	"METHYLE AMINOLEVULINATE"
"L01XD04"	"AMINOLEVULINIC ACID"	"ACIDE LEVULINIQUE"
"L01XD05"	"TEMOPORFIN"	"TEMOPORFIN"
"L01XX"	"OTHER ANTINEOPLASTIC AGENTS"	"AUTRE ANTINEOPLASIQUE"
"L01XX01"	"AMSACRINE"	"AMSACRINE"
"L01XX02"	"ASPARAGINASE"	"ASPARAGINASE"
"L01XX03"	"ALTRETAMINE"	"ALTRETAMINE"
"L01XX05"	"HYDROXYCARBAMIDE"	"HYDROXYCARBAMIDE"
"L01XX07"	"LONIDAMINE"	"LONIDAMINE"
"L01XX08"	"PENTOSTATIN"	"PENTOSTATINE"
"L01XX09"	"MILTEFOSINE"	"MILTEFOSINE"
"L01XX10"	"MASOPROCOL"	"MASOPROCOL"
"L01XX11"	"ESTRAMUSTINE"	"ESTRAMUSTINE"
"L01XX13"	"DACARBAZINE"	"DACARBAZINE"
"L01XX14"	"TRETINOIN"	"TRETINOÏNE"
"L01XX16"	"MITOGUAZONE"	"MITOGUAZONE"
"L01XX17"	"TOPOTECAN"	"TOPOTECAN"
"L01XX18"	"TIAZOFURINE"	"TIAZOFURINE"
"L01XX19"	"IRINOTECAN"	"IRINOTECAN"
"L01XX21"	"RITUXIMAB"	"RITUXIMAB"
"L01XX22"	"ALITRETINOIN"	"ALITRETINOINE"
"L01XX23"	"MITOTANE"	"MITOTANE"
"L01XX24"	"PEGASPARGASE"	"PEGASPARGASE"
"L01XX25"	"BEXAROTENE"	"BEXAROTENE"
"L01XX27"	"ARSENIC TRIOXIDE"	"ARSENIC TRIOXYDE"
"L01XX28"	"IMATINIB"	"IMATINIB"
"L01XX29"	"DENILEUKIN DIFTITOX"	"DENILEUKINE DIFTITOX"
"L01XX31"	"GEFITINIB"	"GEFITINIB"
"L01XX32"	"BORTEZOMIB"	"BORTEZOMIB"
"L01XX33"	"CELECOXIB"	"CELECOXIB"
"L01XY"	"COMBINATIONS OF ANTINEOPLASTIC AGENTS"	"ASSOCIATIONS D'ANTINEOPLASIQUES"
"L02"	"ENDOCRINE THERAPY"	"THERAPEUTIQUE ENDOCRINE"
"L02A"	"HORMONES AND RELATED AGENTS"	"HORMONES ET APPARENTES"
"L02AA"	"ESTROGENS"	"ESTROGENES"
"L02AA01"	"DIETHYLSTILBESTROL"	"DIETHYLSTILBESTROL"
"L02AA02"	"POLYESTRADIOL PHOSPHATE"	"POLYESTRADIOL PHOSPHATE"
"L02AA03"	"ETHINYLESTRADIOL"	"ETHINYLESTRADIOL"
"L02AA04"	"FOSFESTROL"	"FOSFESTROL"
"L02AB"	"PROGESTOGENS"	"PROGESTATIFS"
"L02AB01"	"MEGESTROL"	"MEGESTROL"
"L02AB02"	"MEDROXYPROGESTERONE"	"MEDROXYPROGESTERONE"
"L02AB03"	"GESTONORONE"	"GESTONORONE"
"L02AE"	"GONADOTROPIN RELEASING HORMONE ANALOGUES"	"ANALOGUES DE L'HORMONE ENTRAINANT LA LIBERATION DE GONADOTROPHINES"
"L02AE01"	"BUSERELIN"	"BUSERELINE"
"L02AE02"	"LEUPRORELIN"	"LEUPRORELINE"
"L02AE03"	"GOSERELIN"	"GOSERELINE"
"L02AE04"	"TRIPTORELIN"	"TRIPTORELINE"
"L02AX"	"OTHER HORMONES"	"AUTRES HORMONES"
"L02B"	"HORMONE ANTAGONISTS AND RELATED AGENTS"	"ANTIHORMONES ET APPARENTES"
"L02BA"	"ANTI-ESTROGENS"	"ANTIESTROGENES"
"L02BA01"	"TAMOXIFEN"	"TAMOXIFENE"
"L02BA02"	"TOREMIFENE"	"TOREMIFENE"
"L02BA03"	"FULVESTRANT"	"FULVESTRANT"
"L02BB"	"ANTI-ANDROGENS"	"ANTIANDROGENES"
"L02BB01"	"FLUTAMIDE"	"FLUTAMIDE"
"L02BB02"	"NILUTAMIDE"	"NILUTAMIDE"
"L02BB03"	"BICALUTAMIDE"	"BICALUTAMIDE"
"L02BG"	"ENZYME INHIBITORS"	"INHIBITEURS ENZYMATIQUES"
"L02BG01"	"AMINOGLUTHETIMIDE"	"AMINOGLUTHETIMIDE"
"L02BG02"	"FORMESTANE"	"FORMESTANE"
"L02BG03"	"ANASTROZOLE"	"ANASTROZOLE"
"L02BG04"	"LETROZOLE"	"LETROZOLE"
"L02BG05"	"VOROZOLE"	"VOROZOLE"
"L02BG06"	"EXEMESTANE"	"EXEMESTANE"
"L02BX"	"HORMONS INHIBITORS"	"INHIBITEURS HORMONAUX"
"L02BX01"	"ABARELIX"	"ABARELIX"
"L03"	"IMMUNOSTIMULANTS"	"IMMUNOSTIMULANTS"
"L03A"	"CYTOKINES AND IMMUNOMODULATORS"	"CYTOKINES ET IMMUNOMODULATEURS"
"L03AA"	"COLONY STIMULATING FACTORS"	"FACTEURS DE CROISSANCE"
"L03AA02"	"FILGRASTIM"	"FILGRASTIME"
"L03AA03"	"MOLGRAMOSTIM"	"MOLGRAMOSTIME"
"L03AA09"	"SARGRAMOSTIM"	"SARGRAMOSTIME"
"L03AA10"	"LENOGRASTIM"	"LENOGRASTIME"
"L03AA12"	"ANCESTIM"	"ANCESTIME"
"L03AA13"	"PEGFILGRASTIM"	"PEGFILGRASTIME"
"L03AB"	"INTERFERONS"	"INTERFERONS"
"L03AB01"	"INTERFERON ALFA NATURAL"	"INTERFERON ALPHA NATUREL"
"L03AB02"	"INTERFERON BETA NATURAL"	"INTERFERON BETA NATUREL"
"L03AB03"	"INTERFERON GAMMA"	"INTERFERON GAMMA"
"L03AB04"	"INTERFERON ALFA-2A"	"INTERFERON ALPHA-2A"
"L03AB05"	"INTERFERON ALFA-2B"	"INTERFERON ALPHA-2B"
"L03AB06"	"INTERFERON ALFA-N1"	"INTERFERON ALPHA-N1"
"L03AB07"	"INTERFERON BETA-1A"	"INTERFERON BETA-1A"
"L03AB08"	"INTERFERON BETA-1B"	"INTERFERON BETA-1B"
"L03AB09"	"INTERFERON ALFACON-1"	"INTERFERON ALPHACON-1"
"L03AB10"	"PEGINTERFERON ALFA-2B"	"PEGINTERFERON ALPHA-2B"
"L03AB11"	"PEGINTERFERON ALFA-2A"	"PEGINTERFERON ALPHA-2A"
"L03AC"	"INTERLEUKINS"	"INTERLEUKINES"
"L03AC01"	"ALDESLEUKIN"	"ALDESLEUKINE"
"L03AC02"	"OPRELVEKIN"	"OPRELVEKINE"
"L03AX"	"OTHER CYTOKINES AND IMMUNOMODULATORS"	"AUTRES CYTOKINES ET IMMUNOMODULATEURS"
"L03AX01"	"LENTINAN"	"LENTINAN"
"L03AX02"	"ROQUINIMEX"	"ROQUINIMEX"
"L03AX03"	"BCG VACCINE"	"VACCIN BCG"
"L03AX04"	"PEGADEMASE"	"PEGADEMASE"
"L03AX05"	"PIDOTIMOD"	"PIDOTIMOD"
"L03AX06"	"EDRECOLOMAB"	"EDRECOLOMAB"
"L03AX07"	"POLY I:C"	"POLY I:C"
"L03AX08"	"POLY ICLC"	"POLY ICLC"
"L03AX09"	"THYMOPENTIN"	"THYMOPENTINE"
"L03AX10"	"IMMUNOCYANIN"	"IMMUNOCYANINE"
"L03AX11"	"TASONERMIN"	"TASONERMINE"
"L03AX12"	"MELANOMA VACCINE"	"VACCIN CONTRE LE MELANOME"
"L03AX13"	"GLATIRAMER ACETATE"	"ACETATE DE GLATIRAMER"
"L04"	"IMMUNOSUPPRESSIVE AGENTS"	"IMMUNOSUPPRESSEURS"
"L04A"	"IMMUNOSUPPRESSIVE AGENTS"	"IMMUNOSUPPRESSEUR"
"L04AA"	"SELECTIVE IMMUNOSUPPRESSIVE AGENTS"	"IMMUNOSUPPRESSEURS SELECTIFS"
"L04AA01"	"CICLOSPORIN"	"CICLOSPORINE"
"L04AA02"	"MUROMONAB-CD3"	"MUROMONAB-CD3"
"L04AA03"	"ANTILYMPHOCYTE IMMUNOGLOBULIN (HORSE)"	"IMMUNOGLOBULINE ANTILYMPHOCYTE"
"L04AA04"	"ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT)"	"IMMUNOGLOBULINE ANTITHYMOCYTE"
"L04AA05"	"TACROLIMUS"	"TACROLIMUS"
"L04AA06"	"MYCOPHENOLIC ACID"	"MYCOPHENOLIQUE ACIDE"
"L04AA08"	"DACLIZUMAB"	"DACLIZUMAB"
"L04AA09"	"BASILIXIMAB"	"BASILIXIMAB"
"L04AA10"	"SIROLIMUS"	"SIROLIMUS"
"L04AA11"	"ETANERCEPT"	"ETANERCEPT"
"L04AA12"	"INFLIXIMAB"	"INFLIXIMAB"
"L04AA13"	"LEFLUNOMIDE"	"LEFLUNOMIDE"
"L04AA14"	"ANAKINRA"	"ANAKINRA"
"L04AA15"	"ALEFACEPT"	"ALEFACEPT"
"L04AA16"	"AFELIMOMAB"	"AFELIMOMAB"
"L04AA17"	"ADALIMUMAB"	"ADALIMUMAB"
"L04AA18"	"EVEROLIMUS"	"EVEROLIMUS"
